item,block
minecraft:silence_armor_trim_smithing_template,minecraft:yellow_concrete_powder
minecraft:silverfish_spawn_egg,minecraft:yellow_glazed_terracotta
minecraft:skeleton_horse_spawn_egg,minecraft:yellow_shulker_box
minecraft:skeleton_skull,minecraft:yellow_stained_glass
minecraft:skeleton_spawn_egg,minecraft:yellow_stained_glass_pane
minecraft:skull_banner_pattern,minecraft:yellow_terracotta
minecraft:skull_pottery_sherd,minecraft:yellow_wall_banner
minecraft:slime_ball,minecraft:yellow_wool
minecraft:slime_block,minecraft:zombie_head
minecraft:slime_spawn_egg,minecraft:zombie_wall_head
minecraft:small_amethyst_bud,
minecraft:small_dripleaf,
minecraft:smithing_table,
minecraft:smoker,
minecraft:smooth_basalt,
minecraft:smooth_quartz,
minecraft:smooth_quartz_slab,
minecraft:smooth_quartz_stairs,
minecraft:smooth_red_sandstone,
minecraft:smooth_red_sandstone_slab,
minecraft:smooth_red_sandstone_stairs,
minecraft:smooth_sandstone,
minecraft:smooth_sandstone_slab,
minecraft:smooth_sandstone_stairs,
minecraft:smooth_stone,
minecraft:smooth_stone_slab,
minecraft:sniffer_egg,
minecraft:sniffer_spawn_egg,
minecraft:snort_pottery_sherd,
minecraft:snout_armor_trim_smithing_template,
minecraft:snow,
minecraft:snow_block,
minecraft:snow_golem_spawn_egg,
minecraft:snowball,
minecraft:soul_campfire,
minecraft:soul_lantern,
minecraft:soul_sand,
minecraft:soul_soil,
minecraft:soul_torch,
minecraft:spawner,
minecraft:spectral_arrow,
minecraft:spider_eye,
minecraft:spider_spawn_egg,
minecraft:spire_armor_trim_smithing_template,
minecraft:splash_potion,
minecraft:sponge,
minecraft:spore_blossom,
minecraft:spruce_boat,
minecraft:spruce_button,
minecraft:spruce_chest_boat,
minecraft:spruce_door,
minecraft:spruce_fence,
minecraft:spruce_fence_gate,
minecraft:spruce_hanging_sign,
minecraft:spruce_leaves,
minecraft:spruce_log,
minecraft:spruce_planks,
minecraft:spruce_pressure_plate,
minecraft:spruce_sapling,
minecraft:spruce_sign,
minecraft:spruce_slab,
minecraft:spruce_stairs,
minecraft:spruce_trapdoor,
minecraft:spruce_wood,
minecraft:spyglass,
minecraft:squid_spawn_egg,
minecraft:stick,
minecraft:sticky_piston,
minecraft:stone,
minecraft:stone_axe,
minecraft:stone_brick_slab,
minecraft:stone_brick_stairs,
minecraft:stone_brick_wall,
minecraft:stone_bricks,
minecraft:stone_button,
minecraft:stone_hoe,
minecraft:stone_pickaxe,
minecraft:stone_pressure_plate,
minecraft:stone_shovel,
minecraft:stone_slab,
minecraft:stone_stairs,
minecraft:stone_sword,
minecraft:stonecutter,
minecraft:stray_spawn_egg,
minecraft:strider_spawn_egg,
minecraft:string,
minecraft:stripped_acacia_log,
minecraft:stripped_acacia_wood,
minecraft:stripped_bamboo_block,
minecraft:stripped_birch_log,
minecraft:stripped_birch_wood,
minecraft:stripped_cherry_log,
minecraft:stripped_cherry_wood,
minecraft:stripped_crimson_hyphae,
minecraft:stripped_crimson_stem,
minecraft:stripped_dark_oak_log,
minecraft:stripped_dark_oak_wood,
minecraft:stripped_jungle_log,
minecraft:stripped_jungle_wood,
minecraft:stripped_mangrove_log,
minecraft:stripped_mangrove_wood,
minecraft:stripped_oak_log,
minecraft:stripped_oak_wood,
minecraft:stripped_spruce_log,
minecraft:stripped_spruce_wood,
minecraft:stripped_warped_hyphae,
minecraft:stripped_warped_stem,
minecraft:structure_block,
minecraft:structure_void,
minecraft:sugar,
minecraft:sugar_cane,
minecraft:sunflower,
minecraft:suspicious_gravel,
minecraft:suspicious_sand,
minecraft:suspicious_stew,
minecraft:sweet_berries,
minecraft:tadpole_bucket,
minecraft:tadpole_spawn_egg,
minecraft:tall_grass,
minecraft:target,
minecraft:terracotta,
minecraft:tide_armor_trim_smithing_template,
minecraft:tinted_glass,
minecraft:tipped_arrow,
minecraft:tnt,
minecraft:tnt_minecart,
minecraft:torch,
minecraft:torchflower,
minecraft:torchflower_seeds,
minecraft:totem_of_undying,
minecraft:trader_llama_spawn_egg,
minecraft:trapped_chest,
minecraft:trial_key,
minecraft:trial_spawner,
minecraft:trident,
minecraft:tripwire_hook,
minecraft:tropical_fish,
minecraft:tropical_fish_bucket,
minecraft:tropical_fish_spawn_egg,
minecraft:tube_coral,
minecraft:tube_coral_block,
minecraft:tube_coral_fan,
minecraft:tuff,
minecraft:tuff_brick_slab,
minecraft:tuff_brick_stairs,
minecraft:tuff_brick_wall,
minecraft:tuff_bricks,
minecraft:tuff_slab,
minecraft:tuff_stairs,
minecraft:tuff_wall,
minecraft:turtle_egg,
minecraft:turtle_helmet,
minecraft:turtle_scute,
minecraft:turtle_spawn_egg,
minecraft:twisting_vines,
minecraft:vault,
minecraft:verdant_froglight,
minecraft:vex_armor_trim_smithing_template,
minecraft:vex_spawn_egg,
minecraft:villager_spawn_egg,
minecraft:vindicator_spawn_egg,
minecraft:vine,
minecraft:wandering_trader_spawn_egg,
minecraft:ward_armor_trim_smithing_template,
minecraft:warden_spawn_egg,
minecraft:warped_button,
minecraft:warped_door,
minecraft:warped_fence,
minecraft:warped_fence_gate,
minecraft:warped_fungus,
minecraft:warped_fungus_on_a_stick,
minecraft:warped_hanging_sign,
minecraft:warped_hyphae,
minecraft:warped_nylium,
minecraft:warped_planks,
minecraft:warped_pressure_plate,
minecraft:warped_roots,
minecraft:warped_sign,
minecraft:warped_slab,
minecraft:warped_stairs,
minecraft:warped_stem,
minecraft:warped_trapdoor,
minecraft:warped_wart_block,
minecraft:water_bucket,
minecraft:waxed_chiseled_copper,
minecraft:waxed_copper_block,
minecraft:waxed_copper_bulb,
minecraft:waxed_copper_door,
minecraft:waxed_copper_grate,
minecraft:waxed_copper_trapdoor,
minecraft:waxed_cut_copper,
minecraft:waxed_cut_copper_slab,
minecraft:waxed_cut_copper_stairs,
minecraft:waxed_exposed_chiseled_copper,
minecraft:waxed_exposed_copper,
minecraft:waxed_exposed_copper_bulb,
minecraft:waxed_exposed_copper_door,
minecraft:waxed_exposed_copper_grate,
minecraft:waxed_exposed_copper_trapdoor,
minecraft:waxed_exposed_cut_copper,
minecraft:waxed_exposed_cut_copper_slab,
minecraft:waxed_exposed_cut_copper_stairs,
minecraft:waxed_oxidized_chiseled_copper,
minecraft:waxed_oxidized_copper,
minecraft:waxed_oxidized_copper_bulb,
minecraft:waxed_oxidized_copper_door,
minecraft:waxed_oxidized_copper_grate,
minecraft:waxed_oxidized_copper_trapdoor,
minecraft:waxed_oxidized_cut_copper,
minecraft:waxed_oxidized_cut_copper_slab,
minecraft:waxed_oxidized_cut_copper_stairs,
minecraft:waxed_weathered_chiseled_copper,
minecraft:waxed_weathered_copper,
minecraft:waxed_weathered_copper_bulb,
minecraft:waxed_weathered_copper_door,
minecraft:waxed_weathered_copper_grate,
minecraft:waxed_weathered_copper_trapdoor,
minecraft:waxed_weathered_cut_copper,
minecraft:waxed_weathered_cut_copper_slab,
minecraft:waxed_weathered_cut_copper_stairs,
minecraft:wayfinder_armor_trim_smithing_template,
minecraft:weathered_chiseled_copper,
minecraft:weathered_copper,
minecraft:weathered_copper_bulb,
minecraft:weathered_copper_door,
minecraft:weathered_copper_grate,
minecraft:weathered_copper_trapdoor,
minecraft:weathered_cut_copper,
minecraft:weathered_cut_copper_slab,
minecraft:weathered_cut_copper_stairs,
minecraft:weeping_vines,
minecraft:wet_sponge,
minecraft:wheat,
minecraft:wheat_seeds,
minecraft:white_banner,
minecraft:white_bed,
minecraft:white_candle,
minecraft:white_carpet,
minecraft:white_concrete,
minecraft:white_concrete_powder,
minecraft:white_dye,
minecraft:white_glazed_terracotta,
minecraft:white_shulker_box,
minecraft:white_stained_glass,
minecraft:white_stained_glass_pane,
minecraft:white_terracotta,
minecraft:white_tulip,
minecraft:white_wool,
minecraft:wild_armor_trim_smithing_template,
minecraft:wind_charge,
minecraft:witch_spawn_egg,
minecraft:wither_rose,
minecraft:wither_skeleton_skull,
minecraft:wither_skeleton_spawn_egg,
minecraft:wither_spawn_egg,
minecraft:wolf_armor,
minecraft:wolf_spawn_egg,
minecraft:wooden_axe,
minecraft:wooden_hoe,
minecraft:wooden_pickaxe,
minecraft:wooden_shovel,
minecraft:wooden_sword,
minecraft:writable_book,
minecraft:written_book,
minecraft:yellow_banner,
minecraft:yellow_bed,
minecraft:yellow_candle,
minecraft:yellow_carpet,
minecraft:yellow_concrete,
minecraft:yellow_concrete_powder,
minecraft:yellow_dye,
minecraft:yellow_glazed_terracotta,
minecraft:yellow_shulker_box,
minecraft:yellow_stained_glass,
minecraft:yellow_stained_glass_pane,
minecraft:yellow_terracotta,
minecraft:yellow_wool,
minecraft:zoglin_spawn_egg,
minecraft:zombie_head,
minecraft:zombie_horse_spawn_egg,
minecraft:zombie_spawn_egg,
minecraft:zombie_villager_spawn_egg,
minecraft:zombified_piglin_spawn_egg,
